,geoid,Census Tract,Population 12-17,"Population, error",POP00,POP10,Organization Name,County,DSA Track: Distinct Track Number,Priority,List Current and/or Planned Projects,Reason for priority?,Median Income,Median Income Error,In Labor Force,Civilian Labor Force,Employed,unemployed,Not in Labor Force,% Change Pop,% Unemployment
552,14000US39071954800,"Census Tract 9548, Highland, OH",4350,258,4014,4301,APEG,Highland,39071954800,2,"US 62 and SR 73 Connector, 200+ acres to develop. Seven (7) manufacturing operations adjacent. New construction corridor that leads into business park PAS Technologies, $3 Million (pending); Hobart, $675,000","New corridor provides opportunity for growth in Hillsboro, which has no ready sites for further investment.",33028,3327,1739,1739,1622,117,1745,8.370702541106128,6.7280046003450265
553,14000US39073965200,"Census Tract 9652, Hocking, OH",4231,380,4294,4373,Buckeye Hills Regional Council,Hocking,39073965200,6,"This tract encompasses a key central business area in the City of Logan. This area has existing business activity and sufficient potential to warrant the Opportunity Zone designation based on our knowledge of existing projects and activities, as well as a general analysis of people and jobs per acre.",This is a key business district in the City of Logan and Hocking County.,37634,5203,1944,1944,1804,140,1465,-1.4671634839310665,7.20164609053498
554,14000US39073965200,"Census Tract 9652, Hocking, OH",4231,380,4294,4373,APEG,Hocking,39073965200,1,"Logan-Hocking Commerce Park with SiteOhio site, parts of city of Logan.",Commerce park and adjacent to US 33 so best potential for growth,37634,5203,1944,1944,1804,140,1465,-1.4671634839310665,7.20164609053498
555,14000US39075976600,"Census Tract 9766, Holmes, OH",4684,436,4197,4463,Holmes County Economic Development Council,Holmes,39075976600,1,"The census tract includes the following manufacturing businesses: Pride of the Hills, Daniel's Amish Collection, Sperry & Rice and Crow Works. Crow Works, a design-centric furniture manufacturing company, recently purchased a manufacturing facility that includes 76 vacant acres. The company plans to makes significant investments in the property by constructing improvements, including: a distribution center, water tower, design center, hotel and restaurant.",,51503,4094,2307,2307,2148,159,1268,11.603526328329758,6.8920676202860855
556,14000US39075976600,"Census Tract 9766, Holmes, OH",4684,436,4197,4463,Appalachian Partnership for Economic Growth,Holmes,39075976600,1,"Tract includes Crow Works, a furniture manufacturer, which recently purchased 76 acres of land to accommodate its expansion plans. Company already has invested more than $3 million at site and will continue to make investments going forward as additional buildings on constructed on site.",,51503,4094,2307,2307,2148,159,1268,11.603526328329758,6.8920676202860855
557,14000US39079957200,"Census Tract 9572, Jackson, OH",5157,358,5321,5037,APEG,Jackson,39079957200,2,57 acres (Wellston Industrial Park) adjacent to Superior Hardwoods and General Mills.,The Route 32 corridor in Jackson County has always been highlighted as a development asset. Community is considering developing an additional industrial area withing this tract.,39327,5867,2424,2424,2032,392,1448,-3.082127419657959,16.17161716171617
558,14000US39079957200,"Census Tract 9572, Jackson, OH",5157,358,5321,5037,Ohio Valley Regional Development Commission,Jackson,39079957200,23,Wellston Water Treatment Plant and Minnesota Avenue Water Line Project,"Recent investment activity, LMI percentage.",39327,5867,2424,2424,2032,392,1448,-3.082127419657959,16.17161716171617
559,14000US39079957200,"Census Tract 9572, Jackson, OH",5157,358,5321,5037,Jackson County Economic Development Partnership,Jackson,39079957200,2,Wellston Industrial Park (57 acres) - privately owned. General Mills is the primary employer within this census tract.,The Route 32 corridor in Jackson County has always been highlighted as a development asset. LEDO is considering pursuing an industrial park within this tract.,39327,5867,2424,2424,2032,392,1448,-3.082127419657959,16.17161716171617
560,14000US39079957700,"Census Tract 9577, Jackson, OH",4619,471,5201,5451,APEG,Jackson,39079957700,1,"48 acres (Jackson CIC site); 75 acres (Salt Creek Industrial Park). Tract houses Bellisio Foods, Speyside Bourbon Cooperage, OSCO Industries and H&H Industries.",US 35 & SR 32 intersection remains a development priority for community.,48820,2767,2355,2355,2076,279,1484,-11.190155739280907,11.847133757961783
561,14000US39079957700,"Census Tract 9577, Jackson, OH",4619,471,5201,5451,Ohio Valley Regional Development Commission,Jackson,39079957700,21,Pike County Community Action Committee-Jackson Dental Facility Equipment Project,"Recent investment activity, LMI percentage.",48820,2767,2355,2355,2076,279,1484,-11.190155739280907,11.847133757961783
562,14000US39079957700,"Census Tract 9577, Jackson, OH",4619,471,5201,5451,Jackson County Economic Development Partnership,Jackson,39079957700,1,"48 acres (Jackson CIC Site) and 75 acres (Salt Creek Industrial Park) - both privately owned. Bellisio Foods, Speyside Bourbon Cooperage, OSCO Industries, H&H Industries are key employers within the census tract. US 35 and SR 32 intersection remains a development priority for LEDO.",It contains the best property for for future development and job creations.,48820,2767,2355,2355,2076,279,1484,-11.190155739280907,11.847133757961783
563,14000US39081000800,"Census Tract 8, Jefferson, OH",729,148,1241,855,Appalachian Partnership for Economic Growth,Jefferson,39081000800,3,"Former steel mill site in Steubenville. Some redevelopment of site, which is rail and barge served, has taken place with investment exceeding $30 million. At the moment, more than 100 new jobs have been created at the site.","Site has unlimited potential going forward as oil and gas, along with manufacturing job growth continues along the Ohio River.",17337,2560,222,222,174,48,274,-41.257050765511686,21.62162162162162
564,14000US39081011800,"Census Tract 118, Jefferson, OH",3315,170,3794,3577,Appalachian Partnership for Economic Growth,Jefferson,39081011800,1,"Re-start of former steel mill by Acero Junction, current investment of $65 million, creation of 125 jobs. Rolling mill now in operation.","Investment of $65 million already made, another $70 million to be invested in re-start of electric arc furnace with an additional 150 jobs to be created.",46593,5560,1555,1555,1490,65,1304,-12.625197680548233,4.180064308681672
565,14000US39081011800,"Census Tract 118, Jefferson, OH",3315,170,3794,3577,"Village of Mingo Junction, Councilman",Jefferson,39081011800,1,"Acero Junction - Steel Mill Mingo Pharmacy and Health Clinic FeX Group, LLC - processing and recycling industries The Bay Six Project - gathering place for youth and adults Aracoma Park - amphitheater, pool, courts, playground, etc New Indian Creek Middle School While I would love to be specific on numbers of each investment and elaborate on additional developments (especially ones that may be planned), I just found out about this feedback form and the deadline is tomorrow. While our local Port Authority Director has already submitted our census tract for inclusion in a previous nomination, I thought it might be advantageous for someone from the village council's economic development committee to also submit one. We are a village in transition with a lot of needs, but,even more than that, a lot of opportunities and assets. Please feel free to contact me at any time to discuss our wonderful village, what it has to offer, what it needs to continue its rise, and what it can become. While I teach full-time, I can make some time to talk about the village that I am blessed to call home.",,46593,5560,1555,1555,1490,65,1304,-12.625197680548233,4.180064308681672
566,14000US39081011800,"Census Tract 118, Jefferson, OH",3315,170,3794,3577,"Village of Mingo Jct., Ohio",Jefferson,39081011800,1,"We need help, we have the following business/opportunities in low income areas: Acero Junction Steel Mill, Mingo Pharmacy, new Middle School, FEX, Bay Six project.",,46593,5560,1555,1555,1490,65,1304,-12.625197680548233,4.180064308681672
